1945.815	광복
1945.96	조선 인민공화국 선포
1945.99	미소군정 시작
1945.12	모스크바 3국외상 회의(12월)
1946.3	1차 미소공동위원회개최
1946.5	1차 미소공동위원회 해산
1946.6	이승만의 정읍발언
1946.7	좌우합작위원회 결성
1947.5	제 2차 미소공동위원회 설치
1947.7	미소공동위원회 해산, 여운형 암살로 좌우합작 종료
1947.9	한반도 문제를 UN에 상정
1947.11	인구비례에 의한 총선거 결의
1948.1	소련이 UN 임시 위원단 입북 거부
1948.4	제주 4.3 사건, 남북협상(4월)
1948.5	5.10 총선거
1948.7	제헌헌법 제정
1948.815	대한민국 수립
1948.9	반민법 제정
1948.10	여수, 순천 10.19 사건
1949.1	반민특위 활동 시작
1949.5	국회 프락치 사건 -> 특경대 강제 해산
1949.6	농지개혁법 제정
1949.6	김구 암살
1949.12	귀속재산법 통과
1950.3	농지개혁법 개정, 실시(~1957)
1950	6.25전쟁 발발
1951	거창 양민학살사건, 국민방위군 사건
1952	1차 개헌, 2대 대통령 이승만 취임
1953.6	반공 포로 석방
1953.7	휴전협정
1953.10	한미 상호 방위조약 체결
1954	제네바 회담 개최, 2차개헌
1956	3대 대통령 이승만 취임
1957	큰사전 편찬
1958	진보당 사건
1959	경향신문 폐간
1960.3	3.15 부정선거
1960.4	4.19 혁명, 허정 과도정부 출범
1960.6	3차개헌
1960.8	4대 대통령 윤보선 취임
1960.11	4차개헌
1961	5.16군사정변, 국가재건 최고회의 설치
1962	5차 개헌
1963	5대 대통령 박정희 취임, 김종필-오하라 비밀 회담
1964	6.3항쟁
1965	베트남 파병, 한일 국교 정상화
1966	한미행정협정 체결(SOFA 협정)
1967	6대 대통령 박정희 취임
1968.1	무장공비 침투
1968.1	푸에블로호 납치
1968.4	향토예비군 창설
1968.10	울진 삼척 무장공비 침투
1968.12	국민교육헌장 발표
1969	6차개헌	7.4남북공동성명
1970	전태일 분신, 새마을 운동 전개, 경부고속도로 완공
1971	남북적십자회담 7대 대통령 박정희 취임
1972	7차개헌(유신헌법), 8대 대통령 박정희 취임
1973.3	고등학교 입학 시험을 연합고사로 대체
1973.6	6.23선언
1973.8	김대중 납치 사건
1973.10	1차 석유파동
1973.1224일	개헌청원 100만인 서명
1974.1	개헌청원을 계기로 긴급조치 1, 2호 발표
1974.4	민청학련사건->긴급조치 4호 발표
1974.8	육영수여사 피격
1974	고교평균화 시작(서울+부산)
1975	긴급조치 9호
1976	판문점 도끼 만행
1977	수출 100억불 달성
1978	동일방직 사건, 9대 대통령 박정희 취임
1979	YH사건, 2차 석유파동, 부마항쟁, 10.26사건, 10대 대통령 최규하 취임, 12.12사태
1980.5	5.18 광주민주화운동 -> 국가보위 비상대책위원회 설치
1980.84	삼청교육대 창설
1980.8	11대 대통령 전두환 취임
1980.10	8차개헌
1980.11	언론 통폐합
1981	12대 대통령 전두환 취임
1984	남북 적십자 회담, 남북경제 회담
1985	남북 고향방문단 -> 1차 이산가족 상봉
1987.1	박종철 고문 치사사건
1987.4	4.13 호헌조치
1987.6	6월 민주항쟁 -> 6.29민주화 선언
1987.10	9차개헌
1988	13대 대통령 노태우 취임, 7.7 선언
1989	북방외교 시작(헝가리와 최초 수교)
1990	남북 고위급 회담 시작, 소련과 수교
1991	지방자치단체 부분 실시 - 지방자치단체 의회+ 광역자치단체 의회 의원	남북 UN 동시 가입, 남북기본합의서, 남북 협력기금 설치
1992	중국과 수교
1993.2	14대 대통령 김영삼 취임, , 공직자윤리법 개정
1993.3	하나회 숙청	북한의 NPT 탈퇴
1993.8	금융 실명제 실시
1993.12	우루과이 라운드 체결
1994.8	민족공동체 통일방안 (원칙 : 자주, 평화 민주)
1994.10	제네바 기본합의서
1995	지방자치제 전면 실시	한반도에너지개발기구(KEDO) 설립
1995.7	고용보험제도 도입, 부동산 실명제 실시
1995.12	5.18특별법 제정
1996	OECD 가입
1997	IMF 금융 위기
1998	15대 대통령 김대중 취임
1998	금강산 관광 시작(해로 관광)
1999	남녀차별 금지법 제정	1차 연평해전
2000	남북 정상회담->6.15 남북 공동선언
2000.12	기초생활 보장법 실시
2001	IMF 극복, 여성부 신설
2002	2차 연평해전
2003.1	북한의 NPT 탈퇴
2003.2	16대 대통령 노무현 취임
2003.9	금광산 육로 관광
2005	개성공단 입주
2007	제2차 남북정상회담->10.4선언
2008	17대 대통령 이명박 취임
2010	천안함 피격, 연평도 포격
